"","fecha","Precipitacion","TempAire"
"1","01/01/2013 00:00",0,15.9
"2","01/01/2013 00:10",0,15.9
"3","01/01/2013 00:20",0,15.8
"4","01/01/2013 00:30",NA,NA
"5","01/01/2013 00:40",0,21.2
"6","01/01/2013 00:50",0,20.9
"7","01/01/2013 01:00",0,20.8
"8","01/01/2013 01:10",0,20.6
"9","01/01/2013 01:20",0,20.3
"10","01/01/2013 01:30",NA,NA
"11","01/01/2013 01:40",0,19.8
"12","01/01/2013 01:50",0,19.5
"13","01/01/2013 02:00",0,19.3
"14","01/01/2013 02:10",0,19.2
"15","01/01/2013 02:20",0,19.1
"16","01/01/2013 02:30",NA,NA
"17","01/01/2013 02:40",0,18.7
"18","01/01/2013 02:50",0,18.6
"19","01/01/2013 03:00",0,18.4
"20","01/01/2013 03:10",0,18.2
"21","01/01/2013 03:20",0,18.1
"22","01/01/2013 03:30",NA,NA
"23","01/01/2013 03:40",0,17.9
"24","01/01/2013 03:50",0,17.8
"25","01/01/2013 04:00",0,17.7
"26","01/01/2013 04:10",0,17.5
"27","01/01/2013 04:20",0,17.4
"28","01/01/2013 04:30",NA,NA
"29","01/01/2013 04:40",0,17.1
"30","01/01/2013 04:50",0,17.1
"31","01/01/2013 05:00",0,17
"32","01/01/2013 05:10",0,16.8
"33","01/01/2013 05:20",0,16.6
"34","01/01/2013 05:30",NA,NA
"35","01/01/2013 05:40",0,16.6
"36","01/01/2013 05:50",0,16.4
"37","01/01/2013 06:00",0,16.3
"38","01/01/2013 06:10",0,16.1
"39","01/01/2013 06:20",0,16.1
"40","01/01/2013 06:30",NA,NA
"41","01/01/2013 06:40",0,15.8
"42","01/01/2013 06:50",0,15.7
"43","01/01/2013 07:00",0,15.6
"44","01/01/2013 07:10",0,15.5
"45","01/01/2013 07:20",0,15.3
"46","01/01/2013 07:30",NA,NA
"47","01/01/2013 07:40",0,15.2
"48","01/01/2013 07:50",0,15
"49","01/01/2013 08:00",0,14.9
"50","01/01/2013 08:10",0,14.7
"51","01/01/2013 08:20",0,14.6
"52","01/01/2013 08:30",NA,NA
"53","01/01/2013 08:40",0,14.3
"54","01/01/2013 08:50",0,14.3
"55","01/01/2013 09:00",0,14.3
"56","01/01/2013 09:10",0,14.2
"57","01/01/2013 09:20",0,14
"58","01/01/2013 09:30",NA,NA
"59","01/01/2013 09:40",0,13.7
"60","01/01/2013 09:50",0,13.6
"61","01/01/2013 10:00",0,13.5
"62","01/01/2013 10:10",0,13.4
"63","01/01/2013 10:20",0,13.2
